#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,
Date,Time,AccountName,AccountDomain,SourceAddress,SourcePort,Sharename
7/31/2017,6:27 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58438,\\*\SYSVOL
7/31/2017,6:27 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58438,\\*\IPC$
7/31/2017,6:27 PM,dataexu,AP1,10.42.160.25,57458,\\*\IPC$
7/31/2017,6:26 PM,rmisp,AP1,10.80.24.173,59170,\\*\IPC$
7/31/2017,6:26 PM,MONICAC,AP1,10.80.19.111,53594,\\*\IPC$
7/31/2017,6:26 PM,MONICAC,AP1,10.80.19.111,53594,\\*\AGIHK
7/31/2017,6:26 PM,MONICAC,AP1,10.80.19.111,53593,\\*\IPC$
7/31/2017,6:26 PM,dataexu,AP1,10.42.160.25,57455,\\*\IPC$
7/31/2017,6:25 PM,KARENLA,AP1,10.80.16.36,49675,\\*\IPC$
7/31/2017,6:25 PM,KARENLA,AP1,10.80.16.36,49674,\\*\IPC$
7/31/2017,6:25 PM,rmisp,AP1,10.80.24.173,59156,\\*\IPC$
7/31/2017,6:25 PM,_idshk,AP1,10.42.156.78,50334,\\*\AGIHK
7/31/2017,6:25 PM,dataexu,AP1,10.42.160.25,57453,\\*\IPC$
7/31/2017,6:25 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58429,\\*\SYSVOL
7/31/2017,6:24 PM,dataexu,AP1,10.42.160.25,57449,\\*\IPC$
7/31/2017,6:24 PM,rmisp,AP1,10.80.24.173,59133,\\*\IPC$
7/31/2017,6:23 PM,dataexu,AP1,10.42.160.25,57442,\\*\IPC$
7/31/2017,6:23 PM,rmisp,AP1,10.80.24.173,59074,\\*\IPC$
7/31/2017,6:22 PM,_idshk,AP1,10.42.156.78,50334,\\*\IPC$
7/31/2017,6:21 PM,rmisp,AP1,10.80.24.173,59057,\\*\IPC$
7/31/2017,6:21 PM,_idshk,AP1,10.42.156.78,50306,\\*\IPC$
7/31/2017,6:21 PM,MONICAC,AP1,10.80.19.111,53378,\\*\IPC$
7/31/2017,6:21 PM,MONICAC,AP1,10.80.19.111,53378,\\*\AGIHK
7/31/2017,6:20 PM,rmisp,AP1,10.80.24.173,59042,\\*\IPC$
7/31/2017,6:20 PM,_idshk,AP1,10.42.156.78,50301,\\*\AGIHK
7/31/2017,6:20 PM,_idshk,AP1,10.42.156.78,50301,\\*\IPC$
7/31/2017,6:20 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58415,\\*\SYSVOL
7/31/2017,6:20 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58415,\\*\IPC$
7/31/2017,6:19 PM,rmisp,AP1,10.80.24.173,59026,\\*\IPC$
7/31/2017,6:19 PM,_idshk,AP1,10.42.156.78,50297,\\*\IPC$
7/31/2017,6:19 PM,_idshk,AP1,10.42.156.78,50297,\\*\AGIHK
7/31/2017,6:18 PM,rmisp,AP1,10.80.24.173,59011,\\*\IPC$
7/31/2017,6:18 PM,_idshk,AP1,10.42.156.78,50296,\\*\IPC$
7/31/2017,6:17 PM,KARENLA,AP1,10.80.16.36,49648,\\*\IPC$
7/31/2017,6:17 PM,AGIHKGRAI12P$,ADASIAPAC,183.100.2.37,49874,\\*\SYSVOL
7/31/2017,6:17 PM,rmisp,AP1,10.80.24.173,58991,\\*\IPC$
7/31/2017,6:17 PM,KARENLA,AP1,10.80.16.36,49646,\\*\IPC$
7/31/2017,6:17 PM,_sunsystemsadmin,ADASIAPAC,183.100.2.37,49871,\\*\SYSVOL
7/31/2017,6:17 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58398,\\*\SYSVOL
7/31/2017,6:17 PM,_idshk,AP1,10.42.156.78,50295,\\*\IPC$
7/31/2017,6:17 PM,dataexu,AP1,10.42.160.25,57371,\\*\IPC$
7/31/2017,6:16 PM,MONICAC,AP1,10.80.19.111,53082,\\*\IPC$
7/31/2017,6:16 PM,MONICAC,AP1,10.80.19.111,53082,\\*\AGIHK
7/31/2017,6:16 PM,MONICAC,AP1,10.80.19.111,53079,\\*\IPC$
7/31/2017,6:16 PM,_idshk,AP1,10.42.156.78,50292,\\*\AGIHK
7/31/2017,6:16 PM,AGIHKGRAI14P$,ADASIAPAC,183.100.2.39,65507,\\*\SYSVOL
7/31/2017,6:16 PM,_idshk,AP1,10.42.156.78,50292,\\*\IPC$
7/31/2017,6:16 PM,ELLANEN,AP1,10.80.241.27,61257,\\*\AGIHK
7/31/2017,6:16 PM,dataexu,AP1,10.42.160.25,57349,\\*\IPC$
7/31/2017,6:16 PM,rmisp,AP1,10.80.24.173,58963,\\*\IPC$
7/31/2017,6:15 PM,ELLANEN,AP1,10.80.241.27,61252,\\*\IPC$
7/31/2017,6:15 PM,_idshk,AP1,10.42.156.78,61247,\\*\AGIHK
7/31/2017,6:15 PM,_idshk,AP1,10.42.156.78,61247,\\*\IPC$
7/31/2017,6:15 PM,dataexu,AP1,10.42.160.25,57347,\\*\IPC$
7/31/2017,6:15 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58392,\\*\SYSVOL
7/31/2017,6:15 PM,_idshk,AP1,10.42.156.78,61241,\\*\AGIHK
7/31/2017,6:14 PM,rmisp,AP1,10.80.24.173,58949,\\*\IPC$
7/31/2017,6:14 PM,_idshk,AP1,10.42.156.78,61237,\\*\IPC$
7/31/2017,6:14 PM,dataexu,AP1,10.42.160.25,57343,\\*\IPC$
7/31/2017,7:27 PM,rmisp,AP1,10.80.24.173,60160,\\*\IPC$
7/31/2017,7:27 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61246,\\*\IPC$
7/31/2017,7:27 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61246,\\*\SYSVOL
7/31/2017,7:27 PM,dataexu,AP1,10.42.160.25,65002,\\*\IPC$
7/31/2017,7:26 PM,MONICAC,AP1,10.80.19.111,56252,\\*\IPC$
7/31/2017,7:26 PM,MONICAC,AP1,10.80.19.111,56252,\\*\AGIHK
7/31/2017,7:26 PM,MONICAC,AP1,10.80.19.111,56251,\\*\IPC$
7/31/2017,7:26 PM,dataexu,AP1,10.42.160.25,64999,\\*\IPC$
7/31/2017,7:26 PM,rmisp,AP1,10.80.24.173,60140,\\*\IPC$
7/31/2017,7:26 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61238,\\*\SYSVOL
7/31/2017,7:25 PM,dataexu,AP1,10.42.160.25,64997,\\*\IPC$
7/31/2017,7:24 PM,rmisp,AP1,10.80.24.173,60124,\\*\IPC$
7/31/2017,7:24 PM,dataexu,AP1,10.42.160.25,64993,\\*\IPC$
7/31/2017,7:23 PM,rmisp,AP1,10.80.24.173,60060,\\*\IPC$
7/31/2017,7:23 PM,_idshk,AP1,10.42.156.78,62120,\\*\AGIHK
7/31/2017,7:23 PM,dataexu,AP1,10.42.160.25,64984,\\*\IPC$
7/31/2017,7:23 PM,AGIHKGSU1DP$,ADASIAPAC,183.111.2.129,49712,\\*\SYSVOL
7/31/2017,7:23 PM,_idshk,AP1,10.42.156.78,62120,\\*\IPC$
7/31/2017,7:22 PM,rmisp,AP1,10.80.24.173,60044,\\*\IPC$
7/31/2017,7:22 PM,dataexu,AP1,10.42.160.25,64974,\\*\IPC$
7/31/2017,7:22 PM,_idshk,AP1,10.42.156.78,62110,\\*\IPC$
7/31/2017,7:21 PM,rmisp,AP1,10.80.24.173,60031,\\*\IPC$
7/31/2017,7:21 PM,MONICAC,AP1,10.80.19.111,56057,\\*\IPC$
7/31/2017,7:21 PM,MONICAC,AP1,10.80.19.111,56057,\\*\AGIHK
7/31/2017,7:21 PM,MONICAC,AP1,10.80.19.111,56056,\\*\IPC$
7/31/2017,7:21 PM,dataexu,AP1,10.42.160.25,64972,\\*\IPC$
7/31/2017,7:21 PM,_idshk,AP1,10.42.156.78,62109,\\*\IPC$
7/31/2017,7:20 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61221,\\*\SYSVOL
7/31/2017,7:20 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61221,\\*\IPC$
7/31/2017,7:20 PM,rmisp,AP1,10.80.24.173,60018,\\*\IPC$
7/31/2017,7:20 PM,dataexu,AP1,10.42.160.25,64970,\\*\IPC$
